Time, Theta AF3,Alpha AF3,Low beta AF3,High beta AF3, Gamma AF3, Theta AF4,Alpha AF4,Low beta AF4,High beta AF4, Gamma AF4, Theta T7,Alpha T7,Low beta T7,High beta T7, Gamma T7, Theta T8,Alpha T8,Low beta T8,High beta T8, Gamma T8, Theta Pz,Alpha Pz,Low beta Pz,High beta Pz, Gamma Pz
1453173819.322236,0.099976,0.097954,0.069460,0.026287,0.009117,0.099976,0.097954,0.069460,0.026287,0.009117,41.275307,12.551222,2.167047,0.966773,0.665183,27.566695,25.063630,18.189537,7.779321,3.260026,269.013302,35.706936,11.884715,6.302200,4.228713
1453173819.422257,0.099976,0.097954,0.069460,0.026287,0.009117,0.099976,0.097954,0.069460,0.026287,0.009117,41.275307,12.551222,2.167047,0.966773,0.665183,27.566695,25.063630,18.189537,7.779321,3.260026,269.013302,35.706936,11.884715,6.302200,4.228713
1453173819.522242,0.099976,0.097954,0.069460,0.026287,0.009117,0.099976,0.097954,0.069460,0.026287,0.009117,41.275307,12.551222,2.167047,0.966773,0.665183,27.566695,25.063630,18.189537,7.779321,3.260026,269.013302,35.706936,11.884715,6.302200,4.228713
1453173819.621828,0.099976,0.097954,0.069460,0.026287,0.009117,0.099976,0.097954,0.069460,0.026287,0.009117,41.275307,12.551222,2.167047,0.966773,0.665183,27.566695,25.063630,18.189537,7.779321,3.260026,269.013302,35.706936,11.884715,6.302200,4.228713
1453173819.722241,0.099976,0.097954,0.069460,0.026287,0.009117,0.099976,0.097954,0.069460,0.026287,0.009117,41.275307,12.551222,2.167047,0.966773,0.665183,27.566695,25.063630,18.189537,7.779321,3.260026,269.013302,35.706936,11.884715,6.302200,4.228713
1453173819.822684,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,77.944868,12.102686,2.471214,1.038114,0.446071,3.539306,3.220623,2.380420,1.038894,0.476728,149.096358,30.407589,16.173817,5.056134,3.342249
1453173819.922249,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,77.944868,12.102686,2.471214,1.038114,0.446071,3.539306,3.220623,2.380420,1.038894,0.476728,149.096358,30.407589,16.173817,5.056134,3.342249
1453173820.022693,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,77.944868,12.102686,2.471214,1.038114,0.446071,3.539306,3.220623,2.380420,1.038894,0.476728,149.096358,30.407589,16.173817,5.056134,3.342249
1453173820.122670,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,77.944868,12.102686,2.471214,1.038114,0.446071,3.539306,3.220623,2.380420,1.038894,0.476728,149.096358,30.407589,16.173817,5.056134,3.342249
1453173820.222263,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,77.944868,12.102686,2.471214,1.038114,0.446071,3.539306,3.220623,2.380420,1.038894,0.476728,149.096358,30.407589,16.173817,5.056134,3.342249
1453173820.322681,0.000000,0.000000,0.000000,0.000000,0.000000,0.132027,0.012474,0.003282,0.000745,0.000126,22.074993,7.422814,2.271273,0.652607,0.383084,0.050558,0.003823,0.000892,0.000225,0.000014,56.556679,13.975764,8.527338,1.777524,0.809519
1453173820.422244,0.000000,0.000000,0.000000,0.000000,0.000000,0.132027,0.012474,0.003282,0.000745,0.000126,22.074993,7.422814,2.271273,0.652607,0.383084,0.050558,0.003823,0.000892,0.000225,0.000014,56.556679,13.975764,8.527338,1.777524,0.809519
1453173820.522702,0.000000,0.000000,0.000000,0.000000,0.000000,0.132027,0.012474,0.003282,0.000745,0.000126,22.074993,7.422814,2.271273,0.652607,0.383084,0.050558,0.003823,0.000892,0.000225,0.000014,56.556679,13.975764,8.527338,1.777524,0.809519
1453173820.622680,0.000000,0.000000,0.000000,0.000000,0.000000,0.132027,0.012474,0.003282,0.000745,0.000126,22.074993,7.422814,2.271273,0.652607,0.383084,0.050558,0.003823,0.000892,0.000225,0.000014,56.556679,13.975764,8.527338,1.777524,0.809519
1453173820.722246,0.000000,0.000000,0.000000,0.000000,0.000000,0.132027,0.012474,0.003282,0.000745,0.000126,22.074993,7.422814,2.271273,0.652607,0.383084,0.050558,0.003823,0.000892,0.000225,0.000014,56.556679,13.975764,8.527338,1.777524,0.809519
1453173820.821803,0.226432,0.030493,0.006752,0.001301,0.000532,2.284496,0.242193,0.065207,0.014695,0.004235,6.861783,5.512731,2.021638,0.683184,0.366548,1.609845,0.170375,0.039282,0.012026,0.001572,69.273454,25.155328,5.959585,1.074759,0.480105
1453173820.921768,0.226432,0.030493,0.006752,0.001301,0.000532,2.284496,0.242193,0.065207,0.014695,0.004235,6.861783,5.512731,2.021638,0.683184,0.366548,1.609845,0.170375,0.039282,0.012026,0.001572,69.273454,25.155328,5.959585,1.074759,0.480105
1453173821.022695,0.226432,0.030493,0.006752,0.001301,0.000532,2.284496,0.242193,0.065207,0.014695,0.004235,6.861783,5.512731,2.021638,0.683184,0.366548,1.609845,0.170375,0.039282,0.012026,0.001572,69.273454,25.155328,5.959585,1.074759,0.480105
