Time, Theta AF3,Alpha AF3,Low beta AF3,High beta AF3, Gamma AF3, Theta AF4,Alpha AF4,Low beta AF4,High beta AF4, Gamma AF4, Theta T7,Alpha T7,Low beta T7,High beta T7, Gamma T7, Theta T8,Alpha T8,Low beta T8,High beta T8, Gamma T8, Theta Pz,Alpha Pz,Low beta Pz,High beta Pz, Gamma Pz
1454038666.829682,32.964745,18.703814,10.285702,5.301258,3.428097,11.374318,8.827333,10.458916,6.283230,5.354664,1.477290,1.349840,2.829855,1.099696,1.411901,13.421062,14.739354,12.691841,5.292773,6.418821,3.763014,7.208991,6.980768,3.060697,2.583068
1454038671.829675,9.060922,14.649107,8.923135,9.703726,3.601449,11.420925,16.698583,6.624868,7.911621,5.037226,1.762593,5.128174,1.001236,2.433621,0.914458,6.645793,16.511141,6.993592,5.414188,6.245776,2.478792,10.130134,3.719578,2.892886,1.648740
1454038672.329692,10.019005,30.879797,15.037476,5.050307,5.398735,14.947847,29.368734,15.628875,6.128643,4.898253,1.534587,5.135904,1.459635,1.607242,1.267030,8.177259,24.900062,6.188720,4.165567,5.084570,2.763207,15.924301,4.710323,2.537788,2.049825
1454038672.829694,9.705823,17.473778,10.531145,4.747799,5.410560,12.082324,20.691860,7.403173,3.899892,5.408118,1.109313,2.273079,1.473084,1.078098,1.324565,6.477999,15.673330,6.330038,4.817228,5.810727,3.108517,5.754056,3.837542,1.927502,2.244262
1454038673.329201,3.588333,9.065904,4.092213,4.725489,5.002696,6.764767,9.865313,4.872323,8.757563,5.472758,1.161377,1.537130,1.093999,1.885900,1.013601,8.958447,9.541274,5.796233,4.935776,4.081925,2.627844,3.716903,2.876755,3.475000,2.161355
1454038673.829354,4.045347,8.561183,3.850839,6.607114,4.783872,9.038615,12.301512,6.724848,7.450565,5.445971,1.719105,1.634815,1.400515,2.058511,0.968575,12.839756,5.848816,5.162837,5.086046,3.496793,3.482779,4.631842,3.122384,4.008792,1.652197
1454038674.329684,1.980216,6.302732,5.231907,3.929148,3.688384,3.780221,8.670937,2.700008,4.056363,4.015371,1.135310,1.477120,0.752461,0.931916,1.004361,6.816001,1.940911,3.874877,3.078535,3.432532,1.137858,1.844778,0.894687,2.287516,1.433101
1454038674.829681,4.343896,5.568218,4.103809,3.831623,2.452820,6.514177,6.645848,2.608067,4.983432,3.461920,0.981328,1.326294,0.701460,1.520641,0.982713,11.339275,5.612683,2.244870,3.663815,4.368267,0.457339,3.292423,2.115667,2.258212,2.272601
1454038675.329686,15.650572,4.541525,4.926429,5.592517,3.627881,9.158553,3.666474,3.031346,7.326274,4.012911,1.150276,1.099291,0.930721,1.473817,1.215206,7.254759,6.481435,2.638908,4.349163,5.401317,2.091166,3.344227,2.072277,3.393421,2.801313
1454038675.829704,20.702335,10.239778,7.406634,5.742261,4.880130,10.727352,11.986110,1.665389,6.111685,4.876625,1.007432,2.352264,0.496673,1.747630,1.950528,3.104843,6.876342,5.224504,4.343999,4.237657,2.344987,4.074276,1.953303,3.782484,3.460158
