Time, Theta AF3,Alpha AF3,Low beta AF3,High beta AF3, Gamma AF3, Theta AF4,Alpha AF4,Low beta AF4,High beta AF4, Gamma AF4, Theta T7,Alpha T7,Low beta T7,High beta T7, Gamma T7, Theta T8,Alpha T8,Low beta T8,High beta T8, Gamma T8, Theta Pz,Alpha Pz,Low beta Pz,High beta Pz, Gamma Pz
1453078021.363134,296.957896,123.567573,137.277811,116.426192,120.708968,741.754440,624.242591,615.544422,592.754620,601.049943,54.130549,40.845170,34.777072,36.121439,36.293923,346.809643,306.962176,289.513002,328.177008,322.521837,469.641775,433.040993,435.043224,381.913798,372.800127
1453078021.463100,296.957896,123.567573,137.277811,116.426192,120.708968,741.754440,624.242591,615.544422,592.754620,601.049943,54.130549,40.845170,34.777072,36.121439,36.293923,346.809643,306.962176,289.513002,328.177008,322.521837,469.641775,433.040993,435.043224,381.913798,372.800127
1453078021.563117,296.957896,123.567573,137.277811,116.426192,120.708968,741.754440,624.242591,615.544422,592.754620,601.049943,54.130549,40.845170,34.777072,36.121439,36.293923,346.809643,306.962176,289.513002,328.177008,322.521837,469.641775,433.040993,435.043224,381.913798,372.800127
1453078021.663131,296.957896,123.567573,137.277811,116.426192,120.708968,741.754440,624.242591,615.544422,592.754620,601.049943,54.130549,40.845170,34.777072,36.121439,36.293923,346.809643,306.962176,289.513002,328.177008,322.521837,469.641775,433.040993,435.043224,381.913798,372.800127
1453078021.763179,296.957896,123.567573,137.277811,116.426192,120.708968,741.754440,624.242591,615.544422,592.754620,601.049943,54.130549,40.845170,34.777072,36.121439,36.293923,346.809643,306.962176,289.513002,328.177008,322.521837,469.641775,433.040993,435.043224,381.913798,372.800127
1453078021.863125,228.501549,11.552514,10.629581,6.117127,7.372903,137.434395,18.938730,15.154350,14.876269,14.723560,10.415534,17.882371,5.111408,4.246596,4.434484,170.820888,35.008269,37.457865,15.345680,8.248646,1816.120114,246.801435,316.048963,74.944974,28.553832
1453078021.963136,228.501549,11.552514,10.629581,6.117127,7.372903,137.434395,18.938730,15.154350,14.876269,14.723560,10.415534,17.882371,5.111408,4.246596,4.434484,170.820888,35.008269,37.457865,15.345680,8.248646,1816.120114,246.801435,316.048963,74.944974,28.553832
1453078022.063126,228.501549,11.552514,10.629581,6.117127,7.372903,137.434395,18.938730,15.154350,14.876269,14.723560,10.415534,17.882371,5.111408,4.246596,4.434484,170.820888,35.008269,37.457865,15.345680,8.248646,1816.120114,246.801435,316.048963,74.944974,28.553832
1453078022.163122,228.501549,11.552514,10.629581,6.117127,7.372903,137.434395,18.938730,15.154350,14.876269,14.723560,10.415534,17.882371,5.111408,4.246596,4.434484,170.820888,35.008269,37.457865,15.345680,8.248646,1816.120114,246.801435,316.048963,74.944974,28.553832
1453078022.263116,228.501549,11.552514,10.629581,6.117127,7.372903,137.434395,18.938730,15.154350,14.876269,14.723560,10.415534,17.882371,5.111408,4.246596,4.434484,170.820888,35.008269,37.457865,15.345680,8.248646,1816.120114,246.801435,316.048963,74.944974,28.553832
