Time, Theta AF3,Alpha AF3,Low beta AF3,High beta AF3, Gamma AF3, Theta AF4,Alpha AF4,Low beta AF4,High beta AF4, Gamma AF4, Theta T7,Alpha T7,Low beta T7,High beta T7, Gamma T7, Theta T8,Alpha T8,Low beta T8,High beta T8, Gamma T8, Theta Pz,Alpha Pz,Low beta Pz,High beta Pz, Gamma Pz
1454274960.219654,23.328891,10.178168,28.537149,19.161663,5.763130,18.715661,10.546381,41.601356,21.693785,4.209730,3.979657,7.796772,4.279470,2.164193,1.565738,8.482213,12.162296,8.391532,2.638931,2.696609,212.047761,1.302558,0.573709,0.325033,0.375739
1454274960.718835,135.865198,5.120387,12.504402,3.947694,3.251558,96.993067,4.408661,11.803061,4.161019,3.383050,0.722126,1.514619,1.710202,1.094967,1.335982,5.584281,4.593527,6.998159,2.352482,2.619381,261.366810,3.946492,3.946877,3.713465,0.804957
1454274961.219661,195.528076,17.510450,10.353273,7.213556,4.768361,134.407159,22.038313,8.641791,6.991769,4.730865,1.227339,1.145463,0.773110,1.074196,1.317997,13.925571,12.281593,9.461731,6.893185,4.016507,1034.005281,206.276762,199.039688,138.456000,20.502548
1454274961.719658,84.846966,21.291134,17.121156,6.283129,6.871267,78.462915,26.737175,15.761602,5.986270,6.709823,5.360645,1.793251,1.808538,1.061503,1.767199,27.593718,13.727160,14.047775,6.575653,5.990358,1267.771907,454.599984,297.169119,174.184387,29.038975
1454274962.219668,231.382843,49.785243,20.333308,8.410897,11.727754,165.068563,33.253310,15.379931,8.843426,12.085224,4.721695,3.767096,3.477584,1.472042,2.841458,36.456227,7.659463,8.355989,7.540512,10.400222,568.621113,531.387885,200.352299,111.456338,30.343779
1454274962.719119,228.230153,51.168792,12.121500,7.815825,6.900916,151.668041,30.314604,10.277780,6.994570,6.847976,6.531274,3.923504,1.994768,1.469774,2.292618,46.201996,9.088295,4.714728,6.707099,6.475360,724.022915,627.783643,271.729156,112.069226,35.639878
1454274963.219668,208.846273,56.496997,20.499873,8.439239,9.314863,123.880959,44.939487,13.034402,7.080000,10.114302,6.085900,3.376634,3.382734,2.012583,2.686315,30.223005,19.091534,5.278870,5.606981,9.240175,1105.847803,1002.832192,576.966646,173.385727,54.893937
1454274963.719661,271.493225,51.895797,42.384096,11.854494,13.842315,121.157716,43.351265,28.403343,11.282328,15.254995,3.820947,2.561288,4.377193,2.555476,3.714762,8.841259,30.148360,18.303187,8.332747,13.114233,1259.093641,1011.716729,477.068368,245.860632,104.662423
1454274964.219652,46.358377,39.099191,31.018099,9.530621,8.251572,31.188098,38.192292,25.624337,8.042270,8.858715,2.056582,2.174838,3.150454,2.032178,3.640273,13.926584,25.649069,18.649690,7.619180,6.983938,963.123239,683.032673,386.038392,180.263655,65.924035
1454274964.719662,82.115667,33.116908,7.747479,6.621476,3.775145,56.684216,26.353457,5.662152,5.017536,4.484057,0.935993,1.719291,1.735601,1.494499,2.024459,13.638648,12.248008,3.581759,4.881866,3.356083,1036.447596,567.787956,492.579923,194.982984,56.164562
1454274965.219667,119.745382,17.878010,9.303280,5.498343,3.060599,90.016332,14.664173,9.773337,4.805894,2.956460,2.141495,1.779620,2.209824,1.367450,1.315811,9.318918,6.969165,8.979786,3.767550,3.142522,484.106830,172.292821,157.578075,43.917576,14.858460
1454274965.719679,170.649404,18.634409,15.542667,9.625781,3.918706,136.839738,18.193883,17.207799,8.845011,4.015446,8.627624,4.185946,3.556251,3.183433,1.731040,19.577635,14.576020,16.844097,6.067119,4.006187,833.838182,163.033879,179.943934,31.260270,11.093307
1454274966.219044,113.178258,15.889330,11.604337,5.263377,2.477179,90.746948,13.445624,10.096637,5.059235,2.645853,9.517221,3.051914,2.933658,3.293738,1.628408,20.024124,11.558570,14.040974,4.370292,2.621521,445.729682,46.306372,52.018719,10.411809,2.546037
